Calibrating gyro... keep IMU still.
Gyro bias raw | Gx: -502.59 Gy: 155.51 Gz: -44.83
IMU | Gyro(dps):0.032,0.011,-0.013 | LinAcc(g):0.016,0.013,-0.829 | GyroMag:0.0360.829
IMU | Gyro(dps):0.021,0.037,0.015 | LinAcc(g):0.029,0.024,-0.683 | GyroMag:0.0450.684
IMU | Gyro(dps):0.062,0.024,0.029 | LinAcc(g):0.039,0.032,-0.560 | GyroMag:0.0720.563
IMU | Gyro(dps):0.028,0.009,0.008 | LinAcc(g):0.047,0.039,-0.457 | GyroMag:0.0300.461
IMU | Gyro(dps):0.051,-0.009,0.021 | LinAcc(g):0.055,0.045,-0.368 | GyroMag:0.0560.375
IMU | Gyro(dps):0.052,-0.017,0.052 | LinAcc(g):0.060,0.050,-0.293 | GyroMag:0.0750.303
IMU | Gyro(dps):0.069,-0.018,0.016 | LinAcc(g):0.065,0.054,-0.231 | GyroMag:0.0730.246
IMU | Gyro(dps):0.074,-0.025,-0.007 | LinAcc(g):0.068,0.057,-0.177 | GyroMag:0.0790.198
IMU | Gyro(dps):0.106,-0.022,-0.021 | LinAcc(g):0.071,0.059,-0.132 | GyroMag:0.1100.162
IMU | Gyro(dps):0.071,-0.038,0.004 | LinAcc(g):0.073,0.061,-0.094 | GyroMag:0.0810.134
IMU | Gyro(dps):0.064,-0.014,0.019 | LinAcc(g):0.074,0.061,-0.063 | GyroMag:0.0680.115
IMU | Gyro(dps):0.060,0.016,0.014 | LinAcc(g):0.075,0.062,-0.037 | GyroMag:0.0640.105
IMU | Gyro(dps):0.021,0.069,-0.036 | LinAcc(g):0.076,0.063,-0.015 | GyroMag:0.0810.100
IMU | Gyro(dps):0.052,0.052,-0.061 | LinAcc(g):0.077,0.064,0.003 | GyroMag:0.0960.100
IMU | Gyro(dps):0.039,0.030,-0.032 | LinAcc(g):0.077,0.063,0.019 | GyroMag:0.0590.101
IMU | Gyro(dps):0.048,-0.000,-0.021 | LinAcc(g):0.077,0.064,0.032 | GyroMag:0.0520.105
IMU | Gyro(dps):0.061,0.062,0.013 | LinAcc(g):0.076,0.063,0.043 | GyroMag:0.0880.108
IMU | Gyro(dps):0.054,0.075,-0.017 | LinAcc(g):0.076,0.063,0.052 | GyroMag:0.0940.112
IMU | Gyro(dps):0.024,0.085,0.031 | LinAcc(g):0.076,0.062,0.060 | GyroMag:0.0940.115
IMU | Gyro(dps):0.033,0.075,0.050 | LinAcc(g):0.075,0.062,0.065 | GyroMag:0.0960.117
IMU | Gyro(dps):0.058,0.093,0.023 | LinAcc(g):0.074,0.061,0.070 | GyroMag:0.1120.119
IMU | Gyro(dps):0.037,0.088,-0.014 | LinAcc(g):0.073,0.060,0.074 | GyroMag:0.0960.120
IMU | Gyro(dps):0.020,0.083,-0.019 | LinAcc(g):0.071,0.060,0.076 | GyroMag:0.0880.120
IMU | Gyro(dps):0.005,0.104,0.007 | LinAcc(g):0.070,0.058,0.078 | GyroMag:0.1050.120
IMU | Gyro(dps):-0.025,0.098,-0.026 | LinAcc(g):0.069,0.058,0.079 | GyroMag:0.1050.120
IMU | Gyro(dps):-0.004,0.068,-0.025 | LinAcc(g):0.068,0.057,0.081 | GyroMag:0.0730.120
IMU | Gyro(dps):-0.013,0.056,-0.051 | LinAcc(g):0.067,0.056,0.081 | GyroMag:0.0770.119
IMU | Gyro(dps):-0.014,0.052,-0.054 | LinAcc(g):0.066,0.055,0.082 | GyroMag:0.0760.119
IMU | Gyro(dps):0.000,0.042,-0.059 | LinAcc(g):0.065,0.054,0.082 | GyroMag:0.0720.118
IMU | Gyro(dps):0.027,0.062,-0.074 | LinAcc(g):0.064,0.053,0.082 | GyroMag:0.1000.116
IMU | Gyro(dps):0.013,0.071,-0.054 | LinAcc(g):0.062,0.052,0.081 | GyroMag:0.0900.115
IMU | Gyro(dps):0.053,0.034,-0.074 | LinAcc(g):0.061,0.050,0.081 | GyroMag:0.0970.113
IMU | Gyro(dps):0.047,-0.003,-0.095 | LinAcc(g):0.060,0.049,0.081 | GyroMag:0.1060.112
IMU | Gyro(dps):0.025,0.029,-0.076 | LinAcc(g):0.059,0.048,0.080 | GyroMag:0.0850.110
IMU | Gyro(dps):-0.018,0.053,-0.068 | LinAcc(g):0.058,0.048,0.079 | GyroMag:0.0880.109
IMU | Gyro(dps):0.011,0.088,-0.047 | LinAcc(g):0.056,0.047,0.077 | GyroMag:0.1000.106
IMU | Gyro(dps):-0.017,0.056,-0.040 | LinAcc(g):0.055,0.046,0.075 | GyroMag:0.0710.104
