IMU | Gyro(dps):0.110,0.146,-0.0
13 | LinAcc(g):0.002,0.002,-0.006 | GyroMag:0.1830.006
IMU | Gyro(dps):0.196,0.292,0.002 | LinAcc(g):0.002,0.002,-0.006 | GyroMag:0.3510.007
IMU | Gyro(dps):0.082,0.332,-0.036 | LinAcc(g):0.002,0.002,-0.008 | GyroMag:0.3440.009
IMU | Gyro(dps):-0.006,0.250,-0.046 | LinAcc(g):0.002,0.000,-0.009 | GyroMag:0.2540.009
IMU | Gyro(dps):-0.055,0.231,-0.047 | LinAcc(g):0.002,0.000,-0.008 | GyroMag:0.2420.009
IMU | Gyro(dps):-0.021,0.192,-0.039 | LinAcc(g):0.002,0.000,-0.008 | GyroMag:0.1970.008
IMU | Gyro(dps):0.046,0.028,-0.046 | LinAcc(g):0.000,0.001,-0.010 | GyroMag:0.0710.010
IMU | Gyro(dps):1.113,-0.096,-0.011 | LinAcc(g):0.004,-0.001,0.000 | GyroMag:1.1170.004
IMU | Gyro(dps):1.754,-0.237,0.111 | LinAcc(g):0.005,0.002,-0.002 | GyroMag:1.7730.006
IMU | Gyro(dps):2.664,-0.003,0.285 | LinAcc(g):0.006,0.003,-0.004 | GyroMag:2.6790.008
IMU | Gyro(dps):3.854,0.981,1.223 | LinAcc(g):0.013,-0.002,-0.004 | GyroMag:4.1610.014
IMU | Gyro(dps):4.165,2.058,6.079 | LinAcc(g):0.052,-0.010,-0.010 | GyroMag:7.6520.054
IMU | Gyro(dps):5.639,3.960,16.953 | LinAcc(g):0.103,-0.015,-0.012 | GyroMag:18.3000.105
IMU | Gyro(dps):7.504,5.290,33.508 | LinAcc(g):0.161,0.005,-0.022 | GyroMag:34.7430.163
IMU | Gyro(dps):8.473,4.764,54.227 | LinAcc(g):0.211,0.045,-0.038 | GyroMag:55.0910.219
IMU | Gyro(dps):9.794,7.497,76.748 | LinAcc(g):0.264,0.105,-0.056 | GyroMag:77.7320.290
IMU | Gyro(dps):11.117,11.548,99.999 | LinAcc(g):0.287,0.112,-0.037 | GyroMag:101.2750.310
