IMU | .141 | LinAcc(g):-0.018,0.003,-0.038 | GyroMag:32.2730.042
IMU | Gyro(dps):-7.659,21.994,1.330 | LinAcc(g):-0.025,-0.003,-0.031 | GyroMag:23.3270.040
IMU | Gyro(dps):-3.104,12.550,0.958 | LinAcc(g):-0.031,-0.008,-0.019 | GyroMag:12.9640.038
IMU | Gyro(dps):-0.510,6.027,0.738 | LinAcc(g):-0.037,-0.011,-0.014 | GyroMag:6.0940.042
IMU | Gyro(dps):1.787,-0.137,1.035 | LinAcc(g):-0.040,-0.010,-0.005 | GyroMag:2.0700.042
IMU | Gyro(dps):4.995,-8.071,0.746 | LinAcc(g):-0.040,-0.018,-0.007 | GyroMag:9.5210.044
IMU | Gyro(dps):4.772,-12.823,0.298 | LinAcc(g):-0.057,-0.011,0.001 | GyroMag:13.6860.058
IMU | Gyro(dps):5.914,-16.391,-2.023 | LinAcc(g):-0.058,-0.016,0.000 | GyroMag:17.5420.060
IMU | Gyro(dps):4.615,-16.139,-4.799 | LinAcc(g):-0.035,-0.012,-0.004 | GyroMag:17.4590.037
IMU | Gyro(dps):-21.462,2.053,4.449 | LinAcc(g):0.097,-0.114,0.128 | GyroMag:22.0140.197
IMU | Gyro(dps):-20.573,-0.253,3.424 | LinAcc(g):0.063,-0.078,0.108 | GyroMag:20.8580.148
IMU | Gyro(dps):-18.827,0.498,2.979 | LinAcc(g):0.045,-0.069,0.105 | GyroMag:19.0680.133
IMU | Gyro(dps):-16.079,0.869,2.332 | LinAcc(g):0.040,-0.053,0.084 | GyroMag:16.2710.108
IMU | Gyro(dps):-13.313,0.936,1.824 | LinAcc(g):0.037,-0.043,0.069 | GyroMag:13.4700.089
IMU | Gyro(dps):-11.141,0.754,1.430 | LinAcc(g):0.031,-0.036,0.059 | GyroMag:11.2580.076
IMU | Gyro(dps):-9.328,0.677,1.193 | LinAcc(g):0.025,-0.029,0.050 | GyroMag:9.4290.063
IMU | Gyro(dps):-37.008,-30.418,6.001 | LinAcc(g):0.019,-0.005,0.079 | GyroMag:48.2790.081
IMU | Gyro(dps):-29.995,-37.150,3.907 | LinAcc(g):0.040,-0.006,0.093 | GyroMag:47.9070.102
IMU | Gyro(dps):-25.749,-32.388,1.506 | LinAcc(g):0.067,-0.013,0.073 | GyroMag:41.4040.100
IMU | Gyro(dps):-22.273,-28.247,-1.067 | LinAcc(g):0.103,-0.008,0.046 | GyroMag:35.9880.113
IMU | Gyro(dps):-18.772,-25.550,-3.990 | LinAcc(g):0.143,-0.007,0.026 | GyroMag:31.9550.146
IMU | Gyro(dps):-14.644,-21.322,-6.341 | LinAcc(g):0.183,-0.019,0.012 | GyroMag:26.6320.184
IMU | Gyro(dps):-9.761,-20.398,-6.078 | LinAcc(g):0.147,-0.035,-0.002 | GyroMag:23.4160.151
IMU | Gyro(dps):-5.797,-11.240,-4.658 | LinAcc(g):0.172,-0.021,-0.026 | GyroMag:13.4780.175
IMU | Gyro(dps):-3.079,-9.775,0.717 | LinAcc(g):0.194,-0.002,-0.026 | GyroMag:10.2730.196
IMU | Gyro(dps):-0.057,-10.528,6.531 | LinAcc(g):0.226,0.012,-0.029 | GyroMag:12.3900.228
IMU | Gyro(dps):2.626,-11.618,10.367 | LinAcc(g):0.292,0.024,-0.048 | GyroMag:15.7910.297
IMU | Gyro(dps):4.716,-9.429,12.626 | LinAcc(g):0.381,0.049,-0.083 | GyroMag:16.4490.393
IMU | Gyro(dps):7.805,0.936,13.420 | LinAcc(g):0.456,0.061,-0.087 | GyroMag:15.5530.468
IMU | Gyro(dps):11.821,10.778,20.380 | LinAcc(g):0.426,0.036,-0.075 | GyroMag:25.9080.434
IMU | Gyro(dps):23.763,25.333,22.649 | LinAcc(g):0.310,-0.005,-0.041 | GyroMag:41.4660.312
IMU | Gyro(dps):20.421,20.293,22.105 | LinAcc(g):0.182,-0.010,-0.054 | GyroMag:36.2970.190
IMU | Gyro(dps):15.190,19.276,16.054 | LinAcc(g):0.046,-0.040,-0.018 | GyroMag:29.3260.064
IMU | Gyro(dps):12.388,18.144,8.462 | LinAcc(g):-0.048,-0.048,-0.017 | GyroMag:23.5430.070
IMU | Gyro(dps):10.439,15.158,0.884 | LinAcc(g):-0.125,-0.062,0.001 | GyroMag:18.4260.140
IMU | Gyro(dps):8.086,12.681,-5.389 | LinAcc(g):-0.186,-0.075,0.011 | GyroMag:15.9760.201
IMU | Gyro(dps):6.489,10.789,-8.585 | LinAcc(g):-0.233,-0.089,0.019 | GyroMag:15.2390.250
IMU | Gyro(dps):5.621,9.365,-8.675 | LinAcc(g):-0.269,-0.101,0.025 | GyroMag:13.9480.288
IMU | Gyro(dps):4.177,8.822,-4.644 | LinAcc(g):-0.300,-0.099,0.029 | GyroMag:10.8090.317
IMU | Gyro(dps):3.782,7.023,-2.290 | LinAcc(g):-0.333,-0.105,0.024 | GyroMag:8.2980.350
IMU | Gyro(dps):3.470,6.259,-1.445 | LinAcc(g):-0.344,-0.107,0.025 | GyroMag:7.3010.361
IMU | Gyro(dps):3.369,5.682,-1.898 | LinAcc(g):-0.354,-0.104,0.029 | GyroMag:6.8730.370
IMU | Gyro(dps):5.082,2.443,-2.602 | LinAcc(g):-0.365,-0.109,0.031 | GyroMag:6.2100.383
IMU | Gyro(dps):6.005,0.605,-2.800 | LinAcc(g):-0.278,-0.082,0.016 | GyroMag:6.6530.291
IMU | Gyro(dps):6.184,2.029,-2.221 | LinAcc(g):-0.248,-0.068,0.019 | GyroMag:6.8770.258
IMU | Gyro(dps):5.431,2.011,-1.714 | LinAcc(g):-0.214,-0.058,0.011 | GyroMag:6.0400.222
IMU | Gyro(dps):5.035,2.142,-1.240 | LinAcc(g):-0.182,-0.048,0.008 | GyroMag:5.6100.189
IMU | Gyro(dps):8.556,5.695,-1.675 | LinAcc(g):-0.112,-0.045,-0.025 | GyroMag:10.4130.124
IMU | Gyro(dps):7.375,4.730,-1.561 | LinAcc(g):-0.092,-0.038,-0.024 | GyroMag:8.8990.103
IMU | Gyro(dps):6.143,4.074,-1.248 | LinAcc(g):-0.077,-0.029,-0.020 | GyroMag:7.4760.085
IMU | Gyro(dps):5.389,3.525,-1.032 | LinAcc(g):-0.066,-0.023,-0.016 | GyroMag:6.5210.071
IMU | Gyro(dps):4.617,3.063,-0.899 | LinAcc(g):-0.057,-0.017,-0.013 | GyroMag:5.6130.061
IMU | Gyro(dps):3.892,2.619,-0.760 | LinAcc(g):-0.049,-0.012,-0.010 | GyroMag:4.7520.052
IMU | Gyro(dps):3.350,2.211,-0.657 | LinAcc(g):-0.042,-0.008,-0.009 | GyroMag:4.0670.044
IMU | Gyro(dps):2.899,1.911,-0.558 | LinAcc(g):-0.037,-0.004,-0.007 | GyroMag:3.5170.038
IMU | Gyro(dps):2.573,1.653,-0.475 | LinAcc(g):-0.032,-0.001,-0.005 | GyroMag:3.0950.033
IMU | Gyro(dps):2.278,1.418,-0.398 | LinAcc(g):-0.028,0.002,-0.004 | GyroMag:2.7130.028
IMU | Gyro(dps):2.052,1.222,-0.333 | LinAcc(g):-0.025,0.004,-0.003 | GyroMag:2.4110.025
IMU | Gyro(dps):1.797,1.065,-0.232 | LinAcc(g):-0.021,0.005,-0.002 | GyroMag:2.1020.022
IMU | Gyro(dps):1.517,0.950,-0.199 | LinAcc(g):-0.018,0.006,-0.002 | GyroMag:1.8010.020
IMU | Gyro(dps):1.296,0.856,-0.125 | LinAcc(g):-0.016,0.008,-0.001 | GyroMag:1.5580.018
IMU | Gyro(dps):1.108,0.712,-0.077 | LinAcc(g):-0.015,0.009,-0.000 | GyroMag:1.3190.017
