IMU | Gyro(dps):0.002,0.083,0.051 | LinAcc(g):-0.000,0.001,-0.00
0 | GyroMag:0.0980.001
IMU | Gyro(dps):0.098,0.137,0.032 | LinAcc(g):0.000,0.001,-0.001 | GyroMag:0.1710.001
IMU | Gyro(dps):0.047,0.133,0.027 | LinAcc(g):0.000,0.002,-0.001 | GyroMag:0.1430.002
IMU | Gyro(dps):0.061,0.100,-0.005 | LinAcc(g):0.000,0.001,-0.001 | GyroMag:0.1170.002
IMU | Gyro(dps):0.063,0.121,-0.018 | LinAcc(g):0.000,0.002,-0.002 | GyroMag:0.1370.002
IMU | Gyro(dps):-0.005,0.075,0.003 | LinAcc(g):0.001,0.001,-0.002 | GyroMag:0.0750.002
IMU | Gyro(dps):-0.044,0.008,0.002 | LinAcc(g):0.001,0.001,-0.001 | GyroMag:0.0450.002
IMU | Gyro(dps):0.013,0.027,-0.006 | LinAcc(g):0.001,0.000,-0.000 | GyroMag:0.0300.001
IMU | Gyro(dps):0.019,0.029,-0.039 | LinAcc(g):-0.000,0.001,-0.001 | GyroMag:0.0520.001
IMU | Gyro(dps):0.014,0.094,-0.003 | LinAcc(g):-0.001,0.000,-0.000 | GyroMag:0.0950.001
IMU | Gyro(dps):-0.014,0.045,-0.001 | LinAcc(g):-0.001,0.001,0.001 | GyroMag:0.0470.001
IMU | Gyro(dps):-0.016,0.046,0.006 | LinAcc(g):0.000,0.002,-0.000 | GyroMag:0.0490.002
IMU | Gyro(dps):0.031,0.042,-0.032 | LinAcc(g):-0.000,0.001,-0.001 | GyroMag:0.0610.002
IMU | Gyro(dps):0.019,0.021,-0.039 | LinAcc(g):0.000,0.001,-0.000 | GyroMag:0.0480.001
IMU | Gyro(dps):-0.022,-0.018,-0.034 | LinAcc(g):0.000,0.001,0.001 | GyroMag:0.0450.001
IMU | Gyro(dps):-0.058,-0.025,-0.039 | LinAcc(g):0.001,0.000,0.000 | GyroMag:0.0750.001
IMU | Gyro(dps):-0.059,0.004,-0.027 | LinAcc(g):0.001,0.000,0.001 | GyroMag:0.0650.001
IMU | Gyro(dps):-0.058,0.012,-0.013 | LinAcc(g):0.001,0.000,0.001 | GyroMag:0.0600.001
IMU | Gyro(dps):-0.075,0.032,-0.038 | LinAcc(g):0.000,0.001,0.000 | GyroMag:0.0900.001
IMU | Gyro(dps):-0.044,0.062,-0.018 | LinAcc(g):0.000,0.000,0.000 | GyroMag:0.0780.001
IMU | Gyro(dps):-0.052,0.059,-0.014 | LinAcc(g):0.001,0.001,0.000 | GyroMag:0.0800.001
IMU | Gyro(dps):-0.050,0.057,-0.018 | LinAcc(g):0.001,0.001,0.000 | GyroMag:0.0780.001
IMU | Gyro(dps):-0.018,-0.001,-0.008 | LinAcc(g):0.001,0.001,0.001 | GyroMag:0.0200.001
IMU | Gyro(dps):-0.004,-0.028,-0.018 | LinAcc(g):0.001,0.001,0.000 | GyroMag:0.0330.001
