IMU | Gyro(dps):-0.019,-0.082,-0.075 | LinAcc(g):0.058,0.049,-0.229 | GyroMag:0.113 | LinAccMag:0.241
IMU | Gyro(dps):0.195,-0.286,-0.055 | LinAcc(g):0.060,0.049,-0.176 | GyroMag:0.351 | LinAccMag:0.192
IMU | Gyro(dps):0.221,-0.340,-0.063 | LinAcc(g):0.061,0.052,-0.132 | GyroMag:0.410 | LinAccMag:0.154
IMU | Gyro(dps):0.159,-0.314,-0.034 | LinAcc(g):0.063,0.054,-0.093 | GyroMag:0.353 | LinAccMag:0.125
IMU | Gyro(dps):0.120,-0.272,0.000 | LinAcc(g):0.065,0.056,-0.063 | GyroMag:0.298 | LinAccMag:0.106
IMU | Gyro(dps):0.037,-0.246,-0.014 | LinAcc(g):0.066,0.057,-0.037 | GyroMag:0.250 | LinAccMag:0.094
IMU | Gyro(dps):-0.030,-0.229,-0.018 | LinAcc(g):0.067,0.058,-0.014 | GyroMag:0.232 | LinAccMag:0.089
IMU | Gyro(dps):0.042,-0.203,-0.005 | LinAcc(g):0.068,0.058,0.005 | GyroMag:0.207 | LinAccMag:0.089
IMU | Gyro(dps):0.002,-0.156,-0.018 | LinAcc(g):0.068,0.058,0.020 | GyroMag:0.157 | LinAccMag:0.091
IMU | Gyro(dps):0.005,-0.141,0.036 | LinAcc(g):0.068,0.057,0.034 | GyroMag:0.145 | LinAccMag:0.095
IMU | Gyro(dps):0.044,-0.106,0.044 | LinAcc(g):0.067,0.057,0.045 | GyroMag:0.123 | LinAccMag:0.099
IMU | Gyro(dps):0.066,-0.099,0.037 | LinAcc(g):0.066,0.056,0.053 | GyroMag:0.124 | LinAccMag:0.102
IMU | Gyro(dps):0.086,-0.128,0.006 | LinAcc(g):0.067,0.056,0.060 | GyroMag:0.154 | LinAccMag:0.106
IMU | Gyro(dps):0.076,-0.096,-0.008 | LinAcc(g):0.066,0.055,0.066 | GyroMag:0.123 | LinAccMag:0.108
IMU | Gyro(dps):0.057,-0.101,0.004 | LinAcc(g):0.064,0.055,0.071 | GyroMag:0.116 | LinAccMag:0.110
IMU | Gyro(dps):0.030,-0.074,0.019 | LinAcc(g):0.063,0.054,0.075 | GyroMag:0.083 | LinAccMag:0.112
IMU | Gyro(dps):0.078,-0.053,-0.026 | LinAcc(g):0.063,0.053,0.077 | GyroMag:0.098 | LinAccMag:0.113
IMU | Gyro(dps):0.075,-0.041,-0.044 | LinAcc(g):0.062,0.052,0.079 | GyroMag:0.097 | LinAccMag:0.113
IMU | Gyro(dps):0.012,-0.008,-0.058 | LinAcc(g):0.061,0.051,0.080 | GyroMag:0.059 | LinAccMag:0.114
IMU | Gyro(dps):0.019,-0.020,-0.063 | LinAcc(g):0.061,0.051,0.081 | GyroMag:0.069 | LinAccMag:0.113
IMU | Gyro(dps):-0.008,-0.029,-0.025 | LinAcc(g):0.060,0.050,0.082 | GyroMag:0.039 | LinAccMag:0.113
IMU | Gyro(dps):0.013,-0.016,-0.040 | LinAcc(g):0.059,0.049,0.083 | GyroMag:0.045 | LinAccMag:0.113
IMU | Gyro(dps):0.038,-0.020,-0.046 | LinAcc(g):0.057,0.048,0.083 | GyroMag:0.063 | LinAccMag:0.112
IMU | Gyro(dps):0.050,-0.041,-0.074 | LinAcc(g):0.056,0.048,0.082 | GyroMag:0.098 | LinAccMag:0.110
IMU | Gyro(dps):0.032,-0.024,-0.064 | LinAcc(g):0.055,0.047,0.081 | GyroMag:0.076 | LinAccMag:0.109
IMU | Gyro(dps):0.046,-0.009,-0.032 | LinAcc(g):0.055,0.046,0.080 | GyroMag:0.056 | LinAccMag:0.108
IMU | Gyro(dps):0.029,-0.003,-0.048 | LinAcc(g):0.054,0.045,0.079 | GyroMag:0.056 | LinAccMag:0.106
IMU | Gyro(dps):0.010,-0.014,-0.041 | LinAcc(g):0.052,0.045,0.080 | GyroMag:0.045 | LinAccMag:0.105
IMU | Gyro(dps):0.012,0.014,-0.012 | LinAcc(g):0.051,0.044,0.078 | GyroMag:0.022 | LinAccMag:0.103
IMU | Gyro(dps):0.010,0.031,-0.008 | LinAcc(g):0.050,0.043,0.077 | GyroMag:0.033 | LinAccMag:0.101
IMU | Gyro(dps):0.008,0.013,0.012 | LinAcc(g):0.049,0.041,0.076 | GyroMag:0.019 | LinAccMag:0.099
