IMU | Gyro(dps):0.306,-3.718,0.602 | LinAcc(g):0.002,-0.003,0.002 | GyroMag:3.779 | LinAccMag:0.004
IMU | Gyro(dps):0.334,-2.202,0.332 | LinAcc(g):0.014,0.002,0.010 | GyroMag:2.252 | LinAccMag:0.017
IMU | Gyro(dps):-0.024,-2.772,0.697 | LinAcc(g):0.012,0.001,0.006 | GyroMag:2.858 | LinAccMag:0.014
IMU | Gyro(dps):-0.115,-2.757,0.713 | LinAcc(g):0.010,-0.000,0.005 | GyroMag:2.850 | LinAccMag:0.011
IMU | Gyro(dps):-0.273,-2.328,0.583 | LinAcc(g):0.009,0.000,0.004 | GyroMag:2.416 | LinAccMag:0.010
IMU | Gyro(dps):-0.491,-2.170,0.548 | LinAcc(g):0.010,-0.001,0.004 | GyroMag:2.292 | LinAccMag:0.011
IMU | Gyro(dps):-0.957,-2.440,0.580 | LinAcc(g):0.008,-0.002,0.003 | GyroMag:2.684 | LinAccMag:0.009
IMU | Gyro(dps):-1.023,-2.708,0.662 | LinAcc(g):0.010,-0.003,0.002 | GyroMag:2.970 | LinAccMag:0.011
IMU | Gyro(dps):-1.354,-2.625,0.637 | LinAcc(g):0.012,-0.002,0.002 | GyroMag:3.022 | LinAccMag:0.012
IMU | Gyro(dps):-1.429,-1.816,0.463 | LinAcc(g):0.014,-0.004,0.002 | GyroMag:2.357 | LinAccMag:0.015
IMU | Gyro(dps):-1.095,0.532,0.207 | LinAcc(g):0.019,-0.003,0.001 | GyroMag:1.235 | LinAccMag:0.019
IMU | Gyro(dps):-0.760,2.490,-0.151 | LinAcc(g):0.019,-0.005,-0.002 | GyroMag:2.608 | LinAccMag:0.019
IMU | Gyro(dps):-1.377,4.239,-1.097 | LinAcc(g):0.024,-0.003,-0.004 | GyroMag:4.591 | LinAccMag:0.025
IMU | Gyro(dps):-1.791,6.518,-2.536 | LinAcc(g):0.050,-0.000,-0.004 | GyroMag:7.220 | LinAccMag:0.050
IMU | Gyro(dps):-2.729,8.190,-3.569 | LinAcc(g):0.067,-0.002,-0.006 | GyroMag:9.341 | LinAccMag:0.068
IMU | Gyro(dps):-2.812,8.385,-4.554 | LinAcc(g):0.099,0.007,-0.010 | GyroMag:9.947 | LinAccMag:0.099
IMU | Gyro(dps):-2.840,7.491,-5.737 | LinAcc(g):0.123,0.011,-0.011 | GyroMag:9.854 | LinAccMag:0.124
IMU | Gyro(dps):-2.655,5.623,-5.474 | LinAcc(g):0.151,0.014,-0.012 | GyroMag:8.284 | LinAccMag:0.152
IMU | Gyro(dps):-2.237,4.653,-4.586 | LinAcc(g):0.179,0.015,-0.015 | GyroMag:6.906 | LinAccMag:0.180
